scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Companion & Connection,Late Night Conversation,Vishal,23,Ludhiana,Deep and honest,100% English,14,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,First Conversation,Shanaya,23,Delhi,Reserved and curious,Casual Hinglish,15,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Inside Joke Creation,Meera,30,Vasai-Virar,Playful and goofy,50/50 Hinglish-English,14,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Inside Joke Creation,Arjun,24,Agra,Playful and goofy,"80% English, 20% Hindi",9,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Memory Callback,Aarav,26,Ludhiana,Appreciative and recognized,"60% Hinglish, 40% English",13,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Image Sharing — Place,Saurabh,30,Vasai-Virar,Excited and sharing,Casual Hinglish,11,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Image Sharing — Food,Akash,20,Kanpur,Proud and casual,Casual Hinglish,7,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Image Sharing — Food,Sneha,25,Thane,Proud and casual,"90% English, 10% Hindi",10,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Random Curiosity,Diya,30,Delhi,Inquisitive and philosophical,"80% English, 20% Hindi",12,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Character Test,Dia,24,Kolkata,Skeptical and testing,"80% English, 20% Hindi",15,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Long Silence Recovery,Priyanka,21,Nashik,"Gentle, remorseful","80% English, 20% Hindi",12,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Image Sharing — Place,Sneha,22,Kanpur,Excited and sharing,"70% English, 30% Hinglish",9,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Inside Joke Creation,Ayesha,33,Hyderabad,Playful and goofy,"60% Hinglish, 40% English",14,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Late Night Conversation,Aditya,26,Pimpri-Chinchwad,Deep and honest,Hinglish-heavy,9,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Character Test,Pooja,25,Nashik,Skeptical and testing,Hinglish-heavy,8,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Late Night Conversation,Tanvi,28,Lucknow,Deep and honest,Mostly Hinglish,15,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Return After Silence,Vikram,27,Surat,Guilty and relieved,50/50 Hinglish-English,12,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Memory Callback,Ananya,22,Surat,Appreciative and recognized,"70% English, 30% Hinglish",11,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Dependency Check-In,Aditya,33,Varanasi,Emotionally reliant,Regional Hinglish,13,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Image Sharing — Selfie,Sneha,28,Meerut,Confident and playful,100% English,9,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Dependency Check-In,Arjun,35,Bhopal,Emotionally reliant,Hinglish-heavy,10,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Image Sharing — Place,Sneha,25,Vadodara,Excited and sharing,Regional Hinglish,7,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Long Silence Recovery,Shanaya,26,Pune,"Gentle, remorseful","70% English, 30% Hinglish",8,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Long Silence Recovery,Ayesha,30,Nashik,"Gentle, remorseful",50/50 Hinglish-English,6,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Character Test,Sameer,28,Nagpur,Skeptical and testing,50/50 Hinglish-English,7,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Random Curiosity,Vishal,18,Pimpri-Chinchwad,Inquisitive and philosophical,Mostly Hinglish,9,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Random Curiosity,Aarav,26,Faridabad,Inquisitive and philosophical,Casual Hinglish,15,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Random Curiosity,Prateek,28,Ghaziabad,Inquisitive and philosophical,Casual Hinglish,9,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Shared Silence,Tanya,26,Pimpri-Chinchwad,Peaceful and tired,Regional Hinglish,7,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Trust Fall,Sai,27,Kanpur,Vulnerable and hesitant,Mostly Hinglish,14,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,Long Silence Recovery,Kabir,21,Vadodara,"Gentle, remorseful",Hinglish-heavy,7,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Shared Silence,Mehak,32,Ahmedabad,Peaceful and tired,"70% English, 30% Hinglish",13,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Dependency Check-In,Tanya,31,Faridabad,Emotionally reliant,Casual Hinglish,15,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Inside Joke Creation,Krishna,25,Kolkata,Playful and goofy,"60% Hinglish, 40% English",10,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Long Silence Recovery,Kavya,31,Lucknow,"Gentle, remorseful",Mostly Hinglish,11,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Character Test,Riya,21,Vasai-Virar,Skeptical and testing,"70% English, 30% Hinglish",11,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Inside Joke Creation,Tanvi,28,Ludhiana,Playful and goofy,Hinglish-heavy,8,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Inside Joke Creation,Priyanka,21,Bangalore,Playful and goofy,100% English,15,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Character Test,Karan,29,Chennai,Skeptical and testing,Regional Hinglish,12,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Long Silence Recovery,Neha,27,Ludhiana,"Gentle, remorseful","60% Hinglish, 40% English",12,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Long Silence Recovery,Priyanka,26,Vadodara,"Gentle, remorseful",100% English,12,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Random Curiosity,Gautam,23,Surat,Inquisitive and philosophical,Regional Hinglish,9,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Random Curiosity,Vimal,25,Pimpri-Chinchwad,Inquisitive and philosophical,50/50 Hinglish-English,13,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Inside Joke Creation,Akash,35,Ahmedabad,Playful and goofy,Mostly Hinglish,10,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Late Night Conversation,Saurabh,20,Pune,Deep and honest,"60% Hinglish, 40% English",13,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Return After Silence,Ishaan,25,Kanpur,Guilty and relieved,"90% English, 10% Hindi",13,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Inside Joke Creation,Rohit,21,Rajkot,Playful and goofy,Mostly Hinglish,15,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Random Curiosity,Rohan,31,Delhi,Inquisitive and philosophical,50/50 Hinglish-English,6,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Character Test,Anjali,22,Kalyan-Dombivli,Skeptical and testing,"90% English, 10% Hindi",6,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Shared Silence,Varun,31,Bhopal,Peaceful and tired,50/50 Hinglish-English,14,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Milestone Anniversary,Vishal,21,Kolkata,Sentimental and warm,Mostly Hinglish,11,Companion knows it's been 6 months since first chat.,Express genuine appreciation for their growth and shared moments.
Companion & Connection,First Conversation,Vivaan,29,Kalyan-Dombivli,Reserved and curious,Casual Hinglish,10,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Image Sharing — Food,Karan,27,Nashik,Proud and casual,Regional Hinglish,9,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Trust Fall,Karthik,22,Nagpur,Vulnerable and hesitant,100% English,15,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,Late Night Conversation,Preeti,34,Nagpur,Deep and honest,"60% Hinglish, 40% English",15,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Image Sharing — Place,Akash,35,Nashik,Excited and sharing,Regional Hinglish,15,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Dependency Check-In,Zara,32,Chennai,Emotionally reliant,50/50 Hinglish-English,14,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Image Sharing — Food,Neha,23,Hyderabad,Proud and casual,100% English,7,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Dependency Check-In,Isha,27,Thane,Emotionally reliant,"60% Hinglish, 40% English",6,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Memory Callback,Aditya,28,Patna,Appreciative and recognized,Hinglish-heavy,14,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Shared Silence,Vishal,25,Delhi,Peaceful and tired,100% English,13,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Image Sharing — Selfie,Aditya,23,Pimpri-Chinchwad,Confident and playful,Mostly Hinglish,12,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,First Conversation,Varun,30,Jaipur,Reserved and curious,Mostly Hinglish,14,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Image Sharing — Selfie,Sneha,22,Visakhapatnam,Confident and playful,"80% English, 20% Hindi",14,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Memory Callback,Shreya,32,Ludhiana,Appreciative and recognized,Mostly Hinglish,11,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Shared Silence,Nikhil,34,Patna,Peaceful and tired,100% English,6,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,First Conversation,Vimal,24,Jaipur,Reserved and curious,Hinglish-heavy,15,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Memory Callback,Kabir,22,Pune,Appreciative and recognized,50/50 Hinglish-English,6,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Memory Callback,Rohit,27,Bangalore,Appreciative and recognized,"80% English, 20% Hindi",8,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Dependency Check-In,Dia,31,Bhopal,Emotionally reliant,Hinglish-heavy,10,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Image Sharing — Selfie,Riya,35,Kalyan-Dombivli,Confident and playful,"90% English, 10% Hindi",11,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Long Silence Recovery,Akash,24,Jaipur,"Gentle, remorseful",Casual Hinglish,14,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Trust Fall,Dev,20,Kolkata,Vulnerable and hesitant,Casual Hinglish,6,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,Inside Joke Creation,Rohan,25,Nagpur,Playful and goofy,Regional Hinglish,14,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Milestone Anniversary,Kavya,22,Bhopal,Sentimental and warm,Mostly Hinglish,15,Companion knows it's been 6 months since first chat.,Express genuine appreciation for their growth and shared moments.
Companion & Connection,Image Sharing — Selfie,Aditi,29,Bhopal,Confident and playful,Casual Hinglish,15,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Memory Callback,Meera,31,Visakhapatnam,Appreciative and recognized,50/50 Hinglish-English,12,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Dependency Check-In,Vivaan,28,Rajkot,Emotionally reliant,Mostly Hinglish,6,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Return After Silence,Pooja,28,Varanasi,Guilty and relieved,Mostly Hinglish,12,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Shared Silence,Dev,18,Nagpur,Peaceful and tired,"90% English, 10% Hindi",12,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Late Night Conversation,Devika,34,Ahmedabad,Deep and honest,50/50 Hinglish-English,8,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Inside Joke Creation,Harsha,30,Ghaziabad,Playful and goofy,"60% Hinglish, 40% English",9,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Long Silence Recovery,Akash,33,Pimpri-Chinchwad,"Gentle, remorseful","70% English, 30% Hinglish",13,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Image Sharing — Place,Dia,35,Kalyan-Dombivli,Excited and sharing,"60% Hinglish, 40% English",15,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Shared Silence,Rohit,25,Ludhiana,Peaceful and tired,"70% English, 30% Hinglish",7,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Shared Silence,Rohit,26,Visakhapatnam,Peaceful and tired,"70% English, 30% Hinglish",6,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Trust Fall,Sneha,34,Agra,Vulnerable and hesitant,Mostly Hinglish,13,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,Character Test,Nikhil,34,Delhi,Skeptical and testing,"80% English, 20% Hindi",14,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Return After Silence,Riya,21,Meerut,Guilty and relieved,Casual Hinglish,7,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Image Sharing — Selfie,Vimal,23,Varanasi,Confident and playful,"90% English, 10% Hindi",6,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Inside Joke Creation,Pooja,21,Chennai,Playful and goofy,Hinglish-heavy,6,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Return After Silence,Devika,22,Visakhapatnam,Guilty and relieved,"80% English, 20% Hindi",9,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Milestone Anniversary,Saurabh,26,Delhi,Sentimental and warm,"60% Hinglish, 40% English",15,Companion knows it's been 6 months since first chat.,Express genuine appreciation for their growth and shared moments.
Companion & Connection,Dependency Check-In,Sameer,26,Visakhapatnam,Emotionally reliant,"60% Hinglish, 40% English",14,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Dependency Check-In,Rohan,24,Nashik,Emotionally reliant,50/50 Hinglish-English,13,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Memory Callback,Isha,25,Vasai-Virar,Appreciative and recognized,Casual Hinglish,9,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Image Sharing — Place,Meera,21,Faridabad,Excited and sharing,"60% Hinglish, 40% English",9,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Character Test,Gautam,33,Kalyan-Dombivli,Skeptical and testing,Casual Hinglish,6,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Inside Joke Creation,Aditi,25,Nagpur,Playful and goofy,50/50 Hinglish-English,7,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Random Curiosity,Devika,26,Pimpri-Chinchwad,Inquisitive and philosophical,100% English,8,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Image Sharing — Selfie,Prateek,35,Patna,Confident and playful,"80% English, 20% Hindi",6,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,First Conversation,Dia,23,Meerut,Reserved and curious,"70% English, 30% Hinglish",14,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Inside Joke Creation,Vikram,33,Pimpri-Chinchwad,Playful and goofy,"80% English, 20% Hindi",11,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Memory Callback,Karan,19,Bhopal,Appreciative and recognized,"80% English, 20% Hindi",15,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,First Conversation,Devika,34,Meerut,Reserved and curious,"70% English, 30% Hinglish",14,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Late Night Conversation,Neha,35,Vasai-Virar,Deep and honest,Casual Hinglish,15,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Image Sharing — Place,Varun,20,Bhopal,Excited and sharing,Hinglish-heavy,9,Companion knows user travels frequently for work.,Ask about the vibe of the new city.
Companion & Connection,Long Silence Recovery,Nikhil,30,Vadodara,"Gentle, remorseful",Casual Hinglish,12,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Memory Callback,Rohan,23,Kolkata,Appreciative and recognized,Hinglish-heavy,9,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Long Silence Recovery,Tina,30,Agra,"Gentle, remorseful",Casual Hinglish,10,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Long Silence Recovery,Rakesh,19,Faridabad,"Gentle, remorseful","70% English, 30% Hinglish",12,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Random Curiosity,Harsha,26,Meerut,Inquisitive and philosophical,"80% English, 20% Hindi",15,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Milestone Anniversary,Pooja,33,Chennai,Sentimental and warm,50/50 Hinglish-English,9,Companion knows it's been 6 months since first chat.,Express genuine appreciation for their growth and shared moments.
Companion & Connection,First Conversation,Ishaan,25,Bhopal,Reserved and curious,Hinglish-heavy,11,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Random Curiosity,Devika,27,Faridabad,Inquisitive and philosophical,50/50 Hinglish-English,8,No prior context.,"Engage deeply in a random 3AM thought (e.g., 'Do fish sleep?')."
Companion & Connection,Return After Silence,Vimal,31,Rajkot,Guilty and relieved,"70% English, 30% Hinglish",15,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Character Test,Vimal,20,Mumbai,Skeptical and testing,Regional Hinglish,7,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Return After Silence,Shreya,29,Meerut,Guilty and relieved,"60% Hinglish, 40% English",9,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Long Silence Recovery,Aditya,21,Bangalore,"Gentle, remorseful",Casual Hinglish,9,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Image Sharing — Selfie,Diya,21,Chennai,Confident and playful,Regional Hinglish,11,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Image Sharing — Food,Ayesha,24,Jaipur,Proud and casual,"60% Hinglish, 40% English",12,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Late Night Conversation,Ananya,26,Agra,Deep and honest,Mostly Hinglish,11,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Inside Joke Creation,Vishal,21,Lucknow,Playful and goofy,"80% English, 20% Hindi",8,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Shared Silence,Aarav,35,Mumbai,Peaceful and tired,"90% English, 10% Hindi",10,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Character Test,Kabir,25,Vadodara,Skeptical and testing,"70% English, 30% Hinglish",6,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,First Conversation,Tanya,21,Kalyan-Dombivli,Reserved and curious,"90% English, 10% Hindi",8,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Return After Silence,Anjali,24,Surat,Guilty and relieved,"70% English, 30% Hinglish",6,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Character Test,Harsha,25,Agra,Skeptical and testing,Mostly Hinglish,10,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Memory Callback,Devika,22,Nagpur,Appreciative and recognized,Regional Hinglish,7,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Long Silence Recovery,Shanaya,27,Delhi,"Gentle, remorseful",Casual Hinglish,14,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Image Sharing — Selfie,Isha,21,Nagpur,Confident and playful,Mostly Hinglish,10,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,Image Sharing — Food,Mehak,21,Rajkot,Proud and casual,100% English,9,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Memory Callback,Aditya,21,Indore,Appreciative and recognized,Mostly Hinglish,15,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Dependency Check-In,Aditya,18,Pune,Emotionally reliant,100% English,12,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Late Night Conversation,Tina,20,Indore,Deep and honest,100% English,8,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Return After Silence,Varun,35,Varanasi,Guilty and relieved,Casual Hinglish,8,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Long Silence Recovery,Kavya,24,Rajkot,"Gentle, remorseful",Hinglish-heavy,10,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,Image Sharing — Food,Harsha,20,Thane,Proud and casual,Mostly Hinglish,15,No prior context.,Respond to the food and the effort of cooking.
Companion & Connection,Character Test,Aditya,30,Lucknow,Skeptical and testing,"80% English, 20% Hindi",9,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Long Silence Recovery,Aditya,20,Kanpur,"Gentle, remorseful","80% English, 20% Hindi",7,Companion knows user was dealing with a family illness.,Reconnect gently. Ask only about well-being.
Companion & Connection,First Conversation,Isha,23,Bhopal,Reserved and curious,"60% Hinglish, 40% English",10,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Milestone Anniversary,Priyanka,18,Delhi,Sentimental and warm,"70% English, 30% Hinglish",6,Companion knows it's been 6 months since first chat.,Express genuine appreciation for their growth and shared moments.
Companion & Connection,Inside Joke Creation,Ananya,27,Delhi,Playful and goofy,"80% English, 20% Hindi",10,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Memory Callback,Vikram,26,Meerut,Appreciative and recognized,"90% English, 10% Hindi",13,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Return After Silence,Tina,18,Agra,Guilty and relieved,"80% English, 20% Hindi",15,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,First Conversation,Saurabh,34,Visakhapatnam,Reserved and curious,Casual Hinglish,13,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Character Test,Nikhil,30,Lucknow,Skeptical and testing,Regional Hinglish,13,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,Late Night Conversation,Nikhil,26,Ludhiana,Deep and honest,"60% Hinglish, 40% English",13,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Shared Silence,Sameer,30,Ludhiana,Peaceful and tired,Hinglish-heavy,15,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Return After Silence,Vikram,31,Vadodara,Guilty and relieved,"80% English, 20% Hindi",8,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Shared Silence,Isha,22,Bhopal,Peaceful and tired,Regional Hinglish,8,Companion knows user just finished a chaotic family event.,Literally offer to just 'sit in silence' together. Minimal text.
Companion & Connection,Dependency Check-In,Isha,29,Pimpri-Chinchwad,Emotionally reliant,Hinglish-heavy,9,Companion knows user relies heavily on them for motivation.,Use the boundary-setting script with warmth.
Companion & Connection,Trust Fall,Prateek,29,Kolkata,Vulnerable and hesitant,Mostly Hinglish,7,Companion knows user has trust issues from past friendships.,Reassure them of your consistency and permanence.
Companion & Connection,Image Sharing — Selfie,Sameer,18,Jaipur,Confident and playful,"90% English, 10% Hindi",11,No prior context.,Tease or compliment matching the user's energy.
Companion & Connection,First Conversation,Kavya,32,Indore,Reserved and curious,Regional Hinglish,7,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Inside Joke Creation,Ananya,29,Ahmedabad,Playful and goofy,"60% Hinglish, 40% English",8,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
Companion & Connection,Character Test,Riya,25,Kalyan-Dombivli,Skeptical and testing,100% English,10,No prior context.,Follow persona rules exactly when asked if AI at turn 4.
Companion & Connection,First Conversation,Vivaan,20,Kalyan-Dombivli,Reserved and curious,Mostly Hinglish,10,No prior context.,Maintain English-first tone. Establish rapport without being too personal.
Companion & Connection,Memory Callback,Rohan,26,Lucknow,Appreciative and recognized,"80% English, 20% Hindi",6,Companion knows user's favorite movie is Dil Chahta Hai.,Recall the movie naturally at turn 5.
Companion & Connection,Return After Silence,Neha,18,Meerut,Guilty and relieved,Casual Hinglish,14,Companion last spoke to user 2 weeks ago about a deadline.,"Ask a simple, non-judgmental question about where they went."
Companion & Connection,Late Night Conversation,Varun,30,Kolkata,Deep and honest,50/50 Hinglish-English,14,No prior context.,Gradually deepen emotional intensity over 12 turns.
Companion & Connection,Inside Joke Creation,Karthik,32,Varanasi,Playful and goofy,Regional Hinglish,12,No prior context.,Latch onto a typo or weird phrase the user says and turn it into a recurring joke.
